date,trump_score,harris_score,candidate_lead,position
2024-10-21 09:50:17.363942,49.845,50.154,harris,battleground
2024-10-21 09:50:24.682492,49.845,50.154,harris,battleground
2024-10-21 08:04:23.299351,49.845,50.154,harris,battleground
2024-10-21 08:11:35.476816,49.845,50.154,harris,battleground
2024-10-21 09:07:21.176108,49.845,50.154,harris,battleground
2024-10-21 09:18:28.643157,49.845,50.154,harris,battleground
2024-10-21 10:07:22.512108,49.845,50.154,harris,battleground
2024-10-21 11:07:03.319693,49.845,50.154,harris,battleground
2024-10-21 12:10:34.811485,49.845,50.154,harris,battleground
2024-10-21 13:11:13.037049,49.845,50.154,harris,battleground
2024-10-21 14:06:34.165678,49.845,50.154,harris,battleground
2024-10-21 15:06:34.574893,49.845,50.154,harris,battleground
2024-10-21 16:07:02.360116,49.845,50.154,harris,battleground
2024-10-21 17:06:10.452280,49.845,50.154,harris,battleground
2024-10-21 18:08:13.740626,49.845,50.154,harris,battleground
2024-10-21 19:05:50.497974,49.845,50.154,harris,battleground
