date,trump_score,harris_score,candidate_lead,position
2024-10-21 09:50:17.363942,49.845,50.154,harris,battleground
2024-10-21 09:50:24.682492,49.845,50.154,harris,battleground
2024-10-21 08:04:23.299351,49.845,50.154,harris,battleground
2024-10-21 08:11:35.476816,49.845,50.154,harris,battleground
2024-10-21 09:07:21.176108,49.845,50.154,harris,battleground
2024-10-21 09:18:28.643157,49.845,50.154,harris,battleground
2024-10-21 10:07:22.512108,49.845,50.154,harris,battleground
2024-10-21 11:07:03.319693,49.845,50.154,harris,battleground
2024-10-21 12:10:34.811485,49.845,50.154,harris,battleground
2024-10-21 13:11:13.037049,49.845,50.154,harris,battleground
2024-10-21 14:06:34.165678,49.845,50.154,harris,battleground
2024-10-21 15:06:34.574893,49.845,50.154,harris,battleground
2024-10-21 16:07:02.360116,49.845,50.154,harris,battleground
2024-10-21 17:06:10.452280,49.845,50.154,harris,battleground
2024-10-21 18:08:13.740626,49.845,50.154,harris,battleground
2024-10-21 19:05:50.497974,49.845,50.154,harris,battleground
2024-10-21 20:06:49.482612,49.845,50.154,harris,battleground
2024-10-21 21:06:09.656989,49.845,50.154,harris,battleground
2024-10-21 22:06:09.605354,49.845,50.154,harris,battleground
2024-10-21 23:06:26.232780,49.845,50.154,harris,battleground
2024-10-22 00:25:58.318801,49.845,50.154,harris,battleground
2024-10-22 01:34:02.659447,49.845,50.154,harris,battleground
2024-10-22 02:29:26.841257,49.845,50.154,harris,battleground
2024-10-22 03:11:41.560152,49.845,50.154,harris,battleground
2024-10-22 04:07:41.374251,49.845,50.154,harris,battleground
2024-10-22 05:06:40.951596,49.845,50.154,harris,battleground
2024-10-22 06:08:43.115753,49.845,50.154,harris,battleground
2024-10-22 07:07:24.770433,49.845,50.154,harris,battleground
2024-10-22 08:08:33.742480,49.845,50.154,harris,battleground
2024-10-22 09:06:51.613075,49.845,50.154,harris,battleground
2024-10-22 10:06:43.502924,49.845,50.154,harris,battleground
2024-10-22 11:06:00.400185,49.845,50.154,harris,battleground
2024-10-22 12:10:41.465619,49.845,50.154,harris,battleground
2024-10-22 13:11:13.616255,49.845,50.154,harris,battleground
2024-10-22 14:06:22.303743,49.845,50.154,harris,battleground
2024-10-22 15:06:35.348177,49.845,50.154,harris,battleground
2024-10-22 16:07:15.159039,49.845,50.154,harris,battleground
